name,O,M,R,W,ECON
Hardik Pandya,10,0,68,0,6.80
Kuldeep Yadav,9,0,55,0,6.11
Yuzvendra Chahal,10,0,62,2,6.20
Kedar Jadhav,1,0,14,0,14.00
Sheldon Cottrell,4,1,18,2,4.50
Kemar Roach,3,0,10,0,3.33
Oshane Thomas,0.3,0,1,0,2.00
,,,17,,
,,,6,,
,,,5,,
,,,0,,
,,,(w 1),,
Mohammad Amir,10,2,30,5,3.00
Shaheen Shah Afridi,10,0,70,2,7.00
Hasan Ali,10,0,67,1,6.70
Wahab Riaz,8,0,44,1,5.50
Mohammad Hafeez,7,0,60,1,8.57
Shoaib Malik,4,0,26,0,6.50
Pat Cummins,10,0,33,3,3.30
Mitchell Starc,9,1,43,2,4.77
Kane Richardson,8.4,0,62,2,7.15
Nathan Coulter-Nile,9,0,53,1,5.88
Glenn Maxwell,7,0,58,0,8.28
Aaron Finch,2,0,13,1,6.50
Chris Woakes,5,2,16,1,3.20
Jofra Archer,9,1,30,3,3.33
Liam Plunkett,5,0,30,1,6.00
Mark Wood,6.4,0,18,3,2.70
Ben Stokes,4,0,25,0,6.25
Adil Rashid,10,0,61,0,6.10
Joe Root,5,0,27,2,5.40
Sheldon Cottrell,3,0,17,0,5.66
Oshane Thomas,6,0,43,0,7.16
Shannon Gabriel,7,0,49,2,7.00
Andre Russell,2,0,14,0,7.00
Jason Holder,5.1,0,31,0,6.00
Carlos Brathwaite,5,0,35,0,7.00
Chris Gayle,5,0,22,0,4.40
Lasith Malinga,10,1,61,1,6.10
Nuwan Pradeep,10,0,88,0,8.80
Isuru Udana,10,0,57,2,5.70
Thisara Perera,10,0,67,0,6.70
Dhananjaya de Silva,8,0,40,2,5.00
Milinda Siriwardana,2,0,17,0,8.50
Mitchell Starc,10,0,55,4,5.50
Pat Cummins,7.5,0,38,2,4.85
Jason Behrendorff,9,0,59,1,6.55
Kane Richardson,9,1,47,3,5.22
Glenn Maxwell,10,0,46,0,4.60
Kagiso Rabada,8,1,36,1,4.50
Beuran Hendricks,5,1,25,0,5.00
Andile Phehlukwayo,8,1,18,2,2.25
Chris Morris,6.1,2,13,3,2.10
Imran Tahir,7,0,29,4,4.14
Aftab Alam,5,1,16,0,3.20
Hamid Hassan,4,1,11,0,2.75
Rashid Khan,7,0,45,0,6.42
Gulbadin Naib,6,0,29,1,4.83
Mohammad Nabi,6.4,0,29,0,4.35
Mohammad Amir,10,1,47,3,4.70
Hasan Ali,9,0,84,1,9.33
Wahab Riaz,10,0,71,1,7.10
Imad Wasim,10,0,49,0,4.90
Shadab Khan,9,0,61,0,6.77
Shoaib Malik,1,0,11,0,11.00
Mohammad Hafeez,1,0,11,0,11.00
Bhuvneshwar Kumar,2.4,0,8,0,3.00
Jasprit Bumrah,8,0,52,0,6.50
Vijay Shankar,5.2,0,22,2,4.12
Hardik Pandya,8,0,44,2,5.50
Kuldeep Yadav,9,1,32,2,3.55
Yuzvendra Chahal,7,0,53,0,7.57
Mashrafe Mortaza,8,1,37,0,4.62
Mohammad Saifuddin,10,1,72,3,7.20
Mustafizur Rahman,9,0,59,3,6.55
Mehidy Hasan Miraz,9,0,57,0,6.33
Mosaddek Hossain,6,0,36,0,6.00
Shakib Al Hasan,8,0,54,2,6.75
Sheldon Cottrell,10,0,65,0,6.50
Jason Holder,9,0,62,0,6.88
Andre Russell,6,0,42,1,7.00
Shannon Gabriel,8.3,0,78,0,9.17
Oshane Thomas,6,0,52,1,8.66
Chris Gayle,2,0,22,0,11.00
Mujeeb Ur Rahman,10,0,44,0,4.40
Dawlat Zadran,10,0,85,3,8.50
Mohammad Nabi,9,0,70,0,7.77
Gulbadin Naib,10,0,68,3,6.80
Rahmat Shah,2,0,19,0,9.50
Rashid Khan,9,0,110,0,12.22
Chris Woakes,9,0,41,0,4.55
Jofra Archer,10,1,52,3,5.20
Moeen Ali,7,0,35,0,5.00
Mark Wood,10,1,40,2,4.00
Ben Stokes,4,0,12,0,3.00
Adil Rashid,10,0,66,3,6.60
Matt Henry,10,2,34,0,3.40
Trent Boult,10,0,63,1,6.30
Lockie Ferguson,10,0,59,3,5.90
