name,dismissal,R,B,M,4s,6s,SR,out or not_out
Mohammad Hafeez,c Woakes b Wood,84,62,99,8,2,135.48,out
Sarfaraz Ahmed(c),c & b Woakes,55,44,68,5,0,125.00,out
Asif Ali,c Bairstow b Wood,14,11,17,0,1,127.27,out
Shoaib Malik,c Morgan b Woakes,8,8,18,0,0,100.00,out
Wahab Riaz,c Root b Woakes,4,2,4,1,0,200.00,out
Hasan Ali,not out,10,5,10,0,1,200.00,not_out
Shadab Khan,not out,10,4,3,2,0,250.00,not_out
Jason Roy,lbw b Shadab Khan,8,7,11,2,0,114.28,out
Jonny Bairstow,c Sarfaraz Ahmed b Wahab Riaz,32,31,46,4,1,103.22,out
Joe Root,c Mohammad Hafeez b Shadab Khan,107,104,168,10,1,102.88,out
Eoin Morgan(c),b Mohammad Hafeez,9,18,31,1,0,50.00,out
Ben Stokes,c Sarfaraz Ahmed b Shoaib Malik,13,18,27,1,0,72.22,out
Jos Buttler,c Wahab Riaz b Mohammad Amir,103,76,103,9,2,135.52,out
Moeen Ali,c Fakhar Zaman b Wahab Riaz,19,20,48,1,0,95.00,out
Chris Woakes,c Sarfaraz Ahmed b Wahab Riaz,21,14,23,1,1,150.00,out
Jofra Archer,c Wahab Riaz b Mohammad Amir,1,2,6,0,0,50.00,out
Adil Rashid,not out,3,4,9,0,0,75.00,not_out
Mark Wood,not out,10,6,6,2,0,166.66,not_out
Dimuth Karunaratne(c),c Najibullah Zadran b Mohammad Nabi,30,45,57,3,0,66.66,out
Kusal Perera,c Mohammad Shahzad b Rashid Khan,78,81,150,8,0,96.29,out
Lahiru Thirimanne,b Mohammad Nabi,25,34,39,1,0,73.52,out
Kusal Mendis,c Rahmat Shah b Mohammad Nabi,2,2,4,0,0,100.00,out
Angelo Mathews,c Rahmat Shah b Mohammad Nabi,0,2,5,0,0,0.00,out
Dhananjaya de Silva,c Mohammad Shahzad b Hamid Hassan,0,4,7,0,0,0.00,out
Thisara Perera,run out (Hashmatullah Shahidi/Mohammad Shahzad),2,4,12,0,0,50.00,out
Isuru Udana,b Dawlat Zadran,10,21,22,0,1,47.61,out
Suranga Lakmal,not out,15,13,26,2,0,115.38,not_out
Lasith Malinga,b Dawlat Zadran,4,14,15,1,0,28.57,out
Nuwan Pradeep,b Rashid Khan,0,4,6,0,0,0.00,out
Mohammad Shahzad,c Karunaratne b Malinga,7,12,24,1,0,58.33,out
Hazratullah Zazai,c NLTC Perera b Pradeep,30,25,48,3,1,120.00,out
Rahmat Shah,c Mathews b Udana,2,11,18,0,0,18.18,out
Hashmatullah Shahidi,c MDKJ Perera b Pradeep,4,17,24,0,0,23.52,out
Mohammad Nabi,b NLTC Perera,11,16,21,1,0,68.75,out
Gulbadin Naib(c),lbw b Pradeep,23,32,56,2,0,71.87,out
Najibullah Zadran,run out (Karunaratne),43,56,92,6,0,76.78,out
Rashid Khan,b Pradeep,2,4,7,0,0,50.00,out
Dawlat Zadran,b Malinga,6,18,25,1,0,33.33,out
Hamid Hassan,b Malinga,6,5,12,0,1,120.00,out
Mujeeb Ur Rahman,not out,1,1,4,0,0,100.00,not_out
Hashim Amla,c Sharma b Bumrah,6,9,16,1,0,66.66,out
Quinton de Kock,c Kohli b Bumrah,10,17,28,1,0,58.82,out
Faf du Plessis(c),b Chahal,38,54,77,4,0,70.37,out
Rassie van der Dussen,b Chahal,22,37,59,1,0,59.45,out
David Miller,c & b Chahal,31,40,69,1,0,77.50,out
Jean-Paul Duminy,lbw b Kuldeep Yadav,3,11,11,0,0,27.27,out
Andile Phehlukwayo,st Dhoni b Chahal,34,61,68,2,1,55.73,out
Chris Morris,c Kohli b Kumar,42,34,58,1,2,123.52,out
Kagiso Rabada,not out,31,35,45,2,0,88.57,not_out
Imran Tahir,c Jadhav b Kumar,0,2,2,0,0,0.00,out
Shikhar Dhawan,c de Kock b Rabada,8,12,23,1,0,66.66,out
Rohit Sharma,not out,122,144,212,13,2,84.72,not_out
Virat Kohli(c),c de Kock b Phehlukwayo,18,34,44,1,0,52.94,out
KL Rahul,c du Plessis b Rabada,26,42,71,2,0,61.90,out
MS Dhoni,c & b Morris,34,46,69,2,0,73.91,out
Hardik Pandya,not out,15,7,8,3,0,214.28,not_out
Tamim Iqbal,c Boult b Ferguson,24,38,58,3,0,63.15,out
Soumya Sarkar,b Henry,25,25,35,3,0,100.00,out
Shakib Al Hasan,c Latham b de Grandhomme,64,68,98,7,0,94.11,out
Mushfiqur Rahim,run out (Guptill/Latham),19,35,48,2,0,54.28,out
Mohammad Mithun,c de Grandhomme b Henry,26,33,59,3,0,78.78,out
Mahmudullah,c Williamson b Santner,20,41,52,0,0,48.78,out
Mosaddek Hossain,c Guptill b Boult,11,22,40,0,0,50.00,out
Mohammad Saifuddin,b Henry,29,23,34,3,1,126.08,out
Mehidy Hasan Miraz,c Latham b Boult,7,9,9,0,0,77.77,out
Mashrafe Mortaza(c),c Boult b Henry,1,2,6,0,0,50.00,out
Mustafizur Rahman,not out,0,0,1,0,0,-,not_out
Martin Guptill,c Tamim Iqbal b Shakib Al Hasan,25,14,22,3,1,178.57,out
Colin Munro,c Mehidy Hasan Miraz b Shakib Al Hasan,24,34,41,3,1,70.58,out
Kane Williamson(c),c Mosaddek Hossain b Mehidy Hasan Miraz,40,72,108,1,0,55.55,out
Ross Taylor,c Mushfiqur Rahim b Mosaddek Hossain,82,91,122,9,0,90.10,out
Tom Latham,c Mohammad Saifuddin b Mehidy Hasan Miraz,0,4,5,0,0,0.00,out
James Neesham,c Soumya Sarkar b Mosaddek Hossain,25,33,54,2,1,75.75,out
Colin de Grandhomme,c Mushfiqur Rahim b Mohammad Saifuddin,15,13,23,2,0,115.38,out
Mitchell Santner,not out,17,12,26,2,0,141.66,not_out
Matt Henry,b Mohammad Saifuddin,6,8,16,1,0,75.00,out
Lockie Ferguson,not out,4,3,5,1,0,133.33,not_out
David Warner,c Hetmyer b Cottrell,3,8,24,0,0,37.50,out
Aaron Finch(c),c Hope b Thomas,6,10,13,0,0,60.00,out
Usman Khawaja,c Hope b Russell,13,19,26,2,0,68.42,out
Steven Smith,c Cottrell b Thomas,73,103,178,7,0,70.87,out
Glenn Maxwell,c Hope b Cottrell,0,2,5,0,0,0.00,out
Marcus Stoinis,c Pooran b Holder,19,23,41,4,0,82.60,out
Alex Carey,c Hope b Russell,45,55,62,7,0,81.81,out
Nathan Coulter-Nile,c Holder b Brathwaite,92,60,79,8,4,153.33,out
Pat Cummins,c Cottrell b Brathwaite,2,6,12,0,0,33.33,out
Mitchell Starc,c Holder b Brathwaite,8,9,13,1,0,88.88,out
Adam Zampa,not out,0,0,2,0,0,-,not_out
Chris Gayle,lbw b Starc,21,17,29,4,0,123.52,out
Evin Lewis,c Smith b Cummins,1,5,10,0,0,20.00,out
Shai Hope,c Khawaja b Cummins,68,105,141,7,0,64.76,out
Nicholas Pooran,c Finch b Zampa,40,36,59,5,1,111.11,out
Shimron Hetmyer,run out (Cummins/Maxwell),21,28,31,3,0,75.00,out
Jason Holder(c),c Zampa b Starc,51,57,83,7,1,89.47,out
Andre Russell,c Maxwell b Starc,15,11,19,2,1,136.36,out
Carlos Brathwaite,c Finch b Starc,16,17,31,1,1,94.11,out
Ashley Nurse,not out,19,18,22,4,0,105.55,not_out
Sheldon Cottrell,b Starc,1,2,7,0,0,50.00,out
Oshane Thomas,not out,0,4,12,0,0,0.00,not_out
Jason Roy,c Mashrafe Mortaza b Mehidy Hasan Miraz,153,121,153,14,5,126.44,out
Jonny Bairstow,c Mehidy Hasan Miraz b Mashrafe Mortaza,51,50,81,6,0,102.00,out
Joe Root,b Mohammad Saifuddin,21,29,54,1,0,72.41,out
Jos Buttler,c Soumya Sarkar b Mohammad Saifuddin,64,44,66,2,4,145.45,out
Eoin Morgan(c),c Soumya Sarkar b Mehidy Hasan Miraz,35,33,56,1,2,106.06,out
Ben Stokes,c Mashrafe Mortaza b Mustafizur Rahman,6,7,13,0,0,85.71,out
Chris Woakes,not out,18,8,19,0,2,225.00,not_out
Liam Plunkett,not out,27,9,15,4,1,300.00,not_out
Tamim Iqbal,c Morgan b Wood,19,29,53,1,0,65.51,out
Soumya Sarkar,b Archer,2,8,14,0,0,25.00,out
Shakib Al Hasan,b Stokes,121,119,147,12,1,101.68,out
Mushfiqur Rahim,c Roy b Plunkett,44,50,65,2,0,88.00,out
Mohammad Mithun,c Bairstow b Rashid,0,2,4,0,0,0.00,out
Mahmudullah,c Bairstow b Wood,28,41,66,1,1,68.29,out
Mosaddek Hossain,c Archer b Stokes,26,16,16,4,0,162.50,out
Mohammad Saifuddin,b Stokes,5,8,13,0,0,62.50,out
Mehidy Hasan Miraz,c Bairstow b Archer,12,8,16,2,0,150.00,out
Mashrafe Mortaza(c),not out,4,9,14,0,0,44.44,not_out
Mustafizur Rahman,c Bairstow b Archer,0,3,4,0,0,0.00,out
Hazratullah Zazai,c Munro b Neesham,34,28,48,5,1,121.42,out
Noor Ali Zadran,c Latham b Ferguson,31,38,52,5,0,81.57,out
Rahmat Shah,c Guptill b Neesham,0,4,10,0,0,0.00,out
Hashmatullah Shahidi,c Henry b Ferguson,59,99,143,9,0,59.59,out
Gulbadin Naib(c),c Latham b Neesham,4,4,9,1,0,100.00,out
Mohammad Nabi,c Latham b Neesham,9,24,42,0,0,37.50,out
Najibullah Zadran,c Latham b Neesham,4,3,2,1,0,133.33,out
Ikram Alikhil,c Guptill b de Grandhomme,2,22,34,0,0,9.09,out
Rashid Khan,b Ferguson,0,4,7,0,0,0.00,out
Aftab Alam,c Latham b Ferguson,14,10,10,3,0,140.00,out
Hamid Hassan,not out,7,11,26,1,0,63.63,not_out
