name,dismissal,R,B,M,4s,6s,SR,out or not_out
Aaron Finch(c),c Rubel Hossain b Soumya Sarkar,53,51,91,5,2,103.92,out
Usman Khawaja,c Mushfiqur Rahim b Soumya Sarkar,89,72,110,10,0,123.61,out
Glenn Maxwell,run out (Rubel Hossain),32,10,14,2,3,320.00,out
Marcus Stoinis,not out,17,11,22,2,0,154.54,not_out
Steven Smith,lbw b Mustafizur Rahman,1,2,4,0,0,50.00,out
Alex Carey,not out,11,8,14,1,0,137.50,not_out
Tamim Iqbal,b Starc,62,74,103,6,0,83.78,out
Soumya Sarkar,run out (Finch),10,8,18,2,0,125.00,out
Shakib Al Hasan,c Warner b Stoinis,41,41,61,4,0,100.00,out
Mushfiqur Rahim,not out,102,97,146,9,1,105.15,not_out
Litton Das,lbw b Zampa,20,17,29,3,0,117.64,out
Mahmudullah,c Cummins b Coulter-Nile,69,50,70,5,3,138.00,out
Sabbir Rahman,b Coulter-Nile,0,1,2,0,0,0.00,out
Mehidy Hasan Miraz,c Warner b Starc,6,7,14,0,0,85.71,out
Mashrafe Mortaza(c),c Maxwell b Stoinis,6,5,7,1,0,120.00,out
Dimuth Karunaratne(c),c Buttler b Archer,1,8,9,0,0,12.50,out
Kusal Perera,c Ali b Woakes,2,6,12,0,0,33.33,out
Avishka Fernando,c Rashid b Wood,49,39,50,6,2,125.64,out
Kusal Mendis,c Morgan b Rashid,46,68,110,2,0,67.64,out
Angelo Mathews,not out,85,115,146,5,1,73.91,not_out
Jeevan Mendis,c & b Rashid,0,1,2,0,0,0.00,out
Dhananjaya de Silva,c Root b Archer,29,47,48,1,0,61.70,out
Thisara Perera,c Rashid b Archer,2,6,12,0,0,33.33,out
Isuru Udana,c Root b Wood,6,4,7,1,0,150.00,out
Lasith Malinga,b Wood,1,5,9,0,0,20.00,out
Nuwan Pradeep,not out,1,1,8,0,0,100.00,not_out
James Vince,c BKG Mendis b Malinga,14,18,33,2,0,77.77,out
Jonny Bairstow,lbw b Malinga,0,1,3,0,0,0.00,out
Joe Root,c MDKJ Perera b Malinga,57,89,126,3,0,64.04,out
Eoin Morgan(c),c & b Udana,21,35,51,2,0,60.00,out
Ben Stokes,not out,82,89,135,7,4,92.13,not_out
Jos Buttler,lbw b Malinga,10,9,16,1,0,111.11,out
Moeen Ali,c Udana b de Silva,16,20,25,0,1,80.00,out
Chris Woakes,c MDKJ Perera b de Silva,2,4,8,0,0,50.00,out
Adil Rashid,c MDKJ Perera b de Silva,1,2,3,0,0,50.00,out
Jofra Archer,c NLTC Perera b Udana,3,11,18,0,0,27.27,out
Mark Wood,c MDKJ Perera b Pradeep,0,4,19,0,0,0.00,out
KL Rahul,c Hazratullah Zazai b Mohammad Nabi,30,53,56,2,0,56.60,out
Rohit Sharma,b Mujeeb Ur Rahman,1,10,60,0,0,10.00,out
Virat Kohli(c),c Rahmat Shah b Mohammad Nabi,67,63,105,5,0,106.34,out
Vijay Shankar,lbw b Rahmat Shah,29,41,49,2,0,70.73,out
MS Dhoni,st Ikram Alikhil b Rashid Khan,28,52,75,3,0,53.84,out
Kedar Jadhav,c sub (Noor Ali Zadran) b Gulbadin Naib,52,68,88,3,1,76.47,out
Hardik Pandya,c Ikram Alikhil b Aftab Alam,7,9,23,0,0,77.77,out
Mohammed Shami,b Gulbadin Naib,1,2,7,0,0,50.00,out
Kuldeep Yadav,not out,1,1,4,0,0,100.00,not_out
Jasprit Bumrah,not out,1,1,2,0,0,100.00,not_out
Hazratullah Zazai,b Mohammed Shami,10,24,32,1,0,41.66,out
Gulbadin Naib(c),c Shankar b Pandya,27,42,78,2,0,64.28,out
Rahmat Shah,c Chahal b Bumrah,36,63,94,3,0,57.14,out
Hashmatullah Shahidi,c & b Bumrah,21,45,53,2,0,46.66,out
Asghar Afghan,b Chahal,8,19,33,0,0,42.10,out
Mohammad Nabi,c Pandya b Mohammed Shami,52,55,105,4,1,94.54,out
Najibullah Zadran,c Chahal b Pandya,21,23,32,2,0,91.30,out
Rashid Khan,st Dhoni b Chahal,14,16,20,1,0,87.50,out
Ikram Alikhil,not out,7,10,28,0,0,70.00,not_out
Aftab Alam,b Mohammed Shami,0,1,2,0,0,0.00,out
Mujeeb Ur Rahman,b Mohammed Shami,0,1,2,0,0,0.00,out
Martin Guptill,lbw b Cottrell,0,1,3,0,0,0.00,out
Colin Munro,b Cottrell,0,1,10,0,0,0.00,out
Kane Williamson(c),c Hope b Cottrell,148,154,212,14,1,96.10,out
Ross Taylor,c Holder b Gayle,69,95,148,7,0,72.63,out
Tom Latham,c & b Cottrell,12,16,35,0,0,75.00,out
James Neesham,c Cottrell b Brathwaite,28,23,43,1,1,121.73,out
Colin de Grandhomme,run out (Cottrell),16,6,11,1,1,266.66,out
Mitchell Santner,c Cottrell b Brathwaite,10,5,8,0,1,200.00,out
Matt Henry,not out,0,0,1,0,0,-,not_out
Chris Gayle,c Boult b de Grandhomme,87,84,111,8,6,103.57,out
Shai Hope,b Boult,1,3,12,0,0,33.33,out
Nicholas Pooran,c Latham b Boult,1,7,17,0,0,14.28,out
Shimron Hetmyer,b Ferguson,54,45,72,8,1,120.00,out
Jason Holder(c),c Latham b Ferguson,0,1,2,0,0,0.00,out
Carlos Brathwaite,c Boult b Neesham,101,82,117,9,5,123.17,out
Ashley Nurse,c Latham b Boult,1,8,9,0,0,12.50,out
Evin Lewis,c Neesham b Boult,0,3,4,0,0,0.00,out
Kemar Roach,c Latham b Henry,14,31,44,0,1,45.16,out
Sheldon Cottrell,b Ferguson,15,26,30,2,0,57.69,out
Oshane Thomas,not out,0,4,24,0,0,0.00,not_out
Imam-ul-Haq,c & b Imran Tahir,44,58,71,6,0,75.86,out
Fakhar Zaman,c Amla b Imran Tahir,44,50,94,6,1,88.00,out
Babar Azam,c Ngidi b Phehlukwayo,69,80,113,7,0,86.25,out
Mohammad Hafeez,lbw b Markram,20,33,38,0,1,60.60,out
Haris Sohail,c de Kock b Ngidi,89,59,95,9,3,150.84,out
Imad Wasim,c sub (JP Duminy) b Ngidi,23,15,33,3,0,153.33,out
Wahab Riaz,b Ngidi,4,4,7,0,0,100.00,out
Sarfaraz Ahmed(c),not out,2,2,6,0,0,100.00,not_out
Shadab Khan,not out,1,1,2,0,0,100.00,not_out
Hashim Amla,lbw b Mohammad Amir,2,3,7,0,0,66.66,out
Quinton de Kock,c Imam-ul-Haq b Shadab Khan,47,60,83,3,2,78.33,out
Faf du Plessis(c),c Sarfaraz Ahmed b Mohammad Amir,63,79,112,5,0,79.74,out
Aiden Markram,b Shadab Khan,7,16,13,0,0,43.75,out
Rassie van der Dussen,c Mohammad Hafeez b Shadab Khan,36,47,71,1,1,76.59,out
David Miller,b Shaheen Shah Afridi,31,37,54,3,0,83.78,out
Andile Phehlukwayo,not out,46,32,50,6,0,143.75,not_out
Chris Morris,b Wahab Riaz,16,10,16,1,1,160.00,out
Kagiso Rabada,b Wahab Riaz,3,7,13,0,0,42.85,out
Lungi Ngidi,b Wahab Riaz,1,6,9,0,0,16.66,out
Imran Tahir,not out,1,3,8,0,0,33.33,not_out
Litton Das,c Hashmatullah Shahidi b Mujeeb Ur Rahman,16,17,20,2,0,94.11,out
Tamim Iqbal,b Mohammad Nabi,36,53,62,4,0,67.92,out
Shakib Al Hasan,lbw b Mujeeb Ur Rahman,51,69,99,1,0,73.91,out
Mushfiqur Rahim,c Mohammad Nabi b Dawlat Zadran,83,87,148,4,1,95.40,out
Soumya Sarkar,lbw b Mujeeb Ur Rahman,3,10,13,0,0,30.00,out
Mahmudullah,c Mohammad Nabi b Gulbadin Naib,27,38,52,2,0,71.05,out
Mosaddek Hossain,b Gulbadin Naib,35,24,34,4,0,145.83,out
Mohammad Saifuddin,not out,2,2,7,0,0,100.00,not_out
Gulbadin Naib(c),c Liton Das b Shakib Al Hasan,47,75,107,3,0,62.66,out
Rahmat Shah,c Tamim Iqbal b Shakib Al Hasan,24,35,45,3,0,68.57,out
Hashmatullah Shahidi,st Mushfiqur Rahim b Mosaddek Hossain,11,31,36,0,0,35.48,out
Asghar Afghan,c sub (Sabbir Rahman) b Shakib Al Hasan,20,38,44,1,0,52.63,out
Mohammad Nabi,b Shakib Al Hasan,0,2,3,0,0,0.00,out
Samiullah Shinwari,not out,49,51,90,3,1,96.07,not_out
Ikram Alikhil,run out (Liton Das),11,12,20,1,0,91.66,out
Najibullah Zadran,st Mushfiqur Rahim b Shakib Al Hasan,23,23,34,2,0,100.00,out
Rashid Khan,c Mashrafe Mortaza b Mustafizur Rahman,2,3,7,0,0,66.66,out
Dawlat Zadran,c Mushfiqur Rahim b Mustafizur Rahman,0,8,11,0,0,0.00,out
Mujeeb Ur Rahman,b Mohammad Saifuddin,0,4,7,0,0,0.00,out
Aaron Finch(c),c Woakes b Archer,100,116,144,11,2,86.20,out
David Warner,c Root b Ali,53,61,95,6,0,86.88,out
Usman Khawaja,b Stokes,23,29,32,1,0,79.31,out
Steven Smith,c Archer b Woakes,38,34,64,5,0,111.76,out
Glenn Maxwell,c Buttler b Wood,12,8,14,1,1,150.00,out
Marcus Stoinis,run out (Bairstow/Rashid/Buttler),8,15,17,1,0,53.33,out
Alex Carey,not out,38,27,41,5,0,140.74,not_out
Pat Cummins,c Buttler b Woakes,1,4,8,0,0,25.00,out
Mitchell Starc,not out,4,6,15,0,0,66.66,not_out
James Vince,b Behrendorff,0,2,2,0,0,0.00,out
Jonny Bairstow,c Cummins b Behrendorff,27,39,68,5,0,69.23,out
Joe Root,lbw b Starc,8,9,16,2,0,88.88,out
Eoin Morgan(c),c Cummins b Starc,4,7,13,1,0,57.14,out
Ben Stokes,b Starc,89,115,138,8,2,77.39,out
Jos Buttler,c Khawaja b Stoinis,25,27,60,2,0,92.59,out
Chris Woakes,c Finch b Behrendorff,26,34,64,2,0,76.47,out
Moeen Ali,c Carey b Behrendorff,6,9,14,1,0,66.66,out
Adil Rashid,c Stoinis b Starc,25,20,24,3,1,125.00,out
Jofra Archer,c Warner b Behrendorff,1,4,10,0,0,25.00,out
Mark Wood,not out,1,2,6,0,0,50.00,not_out
Martin Guptill,b Mohammad Amir,5,4,5,1,0,125.00,out
Colin Munro,c Haris Sohail b Shaheen Shah Afridi,12,17,37,2,0,70.58,out
Kane Williamson(c),c Sarfaraz Ahmed b Shadab Khan,41,69,114,4,0,59.42,out
Ross Taylor,c Sarfaraz Ahmed b Shaheen Shah Afridi,3,8,14,0,0,37.50,out
Tom Latham,c Sarfaraz Ahmed b Shaheen Shah Afridi,1,14,18,0,0,7.14,out
James Neesham,not out,97,112,158,5,3,86.60,not_out
Colin de Grandhomme,run out (Mohammad Amir/Sarfaraz Ahmed),64,71,96,6,1,90.14,out
Mitchell Santner,not out,5,5,12,0,0,100.00,not_out
Imam-ul-Haq,c Guptill b Ferguson,19,29,42,3,0,65.51,out
Fakhar Zaman,c Guptill b Boult,9,10,13,2,0,90.00,out
Babar Azam,not out,101,127,198,11,0,79.52,not_out
Mohammad Hafeez,c Ferguson b Williamson,32,50,70,5,0,64.00,out
Haris Sohail,run out (Guptill),68,76,98,5,2,89.47,out
Sarfaraz Ahmed(c),not out,5,3,4,1,0,166.66,not_out
KL Rahul,b Holder,48,64,91,6,0,75.00,out
Rohit Sharma,c Hope b Roach,18,23,28,1,1,78.26,out
Virat Kohli(c),c sub (DM Bravo) b Holder,72,82,146,8,0,87.80,out
Vijay Shankar,c Hope b Roach,14,19,26,3,0,73.68,out
Kedar Jadhav,c Hope b Roach,7,10,13,1,0,70.00,out
MS Dhoni,not out,56,61,99,3,2,91.80,not_out
Hardik Pandya,c Allen b Cottrell,46,38,48,5,0,121.05,out
Mohammed Shami,c Hope b Cottrell,0,2,4,0,0,0.00,out
Kuldeep Yadav,not out,0,1,7,0,0,0.00,not_out
Chris Gayle,c Jadhav b Mohammed Shami,6,19,22,1,0,31.57,out
Sunil Ambris,lbw b Pandya,31,40,84,2,0,77.50,out
Shai Hope,b Mohammed Shami,5,10,12,1,0,50.00,out
Nicholas Pooran,c Mohammed Shami b Kuldeep Yadav,28,50,61,2,0,56.00,out
Shimron Hetmyer,c Rahul b Mohammed Shami,18,29,52,1,0,62.06,out
Jason Holder(c),c Jadhav b Chahal,6,13,14,0,0,46.15,out
Carlos Brathwaite,c Dhoni b Bumrah,1,5,13,0,0,20.00,out
Fabian Allen,lbw b Bumrah,0,1,3,0,0,0.00,out
Kemar Roach,not out,14,21,38,3,0,66.66,not_out
Sheldon Cottrell,lbw b Chahal,10,8,7,1,1,125.00,out
Oshane Thomas,c Sharma b Mohammed Shami,6,11,20,1,0,54.54,out
Dimuth Karunaratne(c),c du Plessis b Rabada,0,1,3,0,0,0.00,out
Kusal Perera,b Pretorius,30,34,58,4,0,88.23,out
Avishka Fernando,c du Plessis b Pretorius,30,29,46,4,0,103.44,out
Kusal Mendis,c Morris b Pretorius,23,51,75,2,0,45.09,out
Angelo Mathews,b Morris,11,29,48,1,0,37.93,out
Dhananjaya de Silva,b Duminy,24,41,54,2,0,58.53,out
Jeevan Mendis,c Pretorius b Morris,18,46,54,1,1,39.13,out
Thisara Perera,c Rabada b Phehlukwayo,21,25,41,0,0,84.00,out
Isuru Udana,c & b Rabada,17,32,40,1,0,53.12,out
Suranga Lakmal,not out,5,7,23,0,0,71.42,not_out
Lasith Malinga,c du Plessis b Morris,4,2,7,1,0,200.00,out
Quinton de Kock,b Malinga,15,16,16,3,0,93.75,out
Hashim Amla,not out,80,105,167,5,0,76.19,not_out
Faf du Plessis(c),not out,96,103,103,10,1,93.20,not_out
Rahmat Shah,c Babar Azam b Imad Wasim,35,43,54,5,0,81.39,out
Gulbadin Naib(c),c Sarfaraz Ahmed b Shaheen Shah Afridi,15,12,22,3,0,125.00,out
Hashmatullah Shahidi,c Imad Wasim b Shaheen Shah Afridi,0,1,2,0,0,0.00,out
Ikram Alikhil,c Mohammad Hafeez b Imad Wasim,24,66,90,1,0,36.36,out
Asghar Afghan,b Shadab Khan,42,35,51,3,2,120.00,out
Mohammad Nabi,c Mohammad Amir b Wahab Riaz,16,33,53,0,0,48.48,out
Najibullah Zadran,b Shaheen Shah Afridi,42,54,75,6,0,77.77,out
Samiullah Shinwari,not out,19,32,59,1,0,59.37,not_out
Rashid Khan,c Fakhar Zaman b Shaheen Shah Afridi,8,12,11,1,0,66.66,out
Hamid Hassan,b Wahab Riaz,1,3,9,0,0,33.33,out
Mujeeb Ur Rahman,not out,7,9,10,1,0,77.77,not_out
Fakhar Zaman,lbw b Mujeeb Ur Rahman,0,2,4,0,0,0.00,out
Imam-ul-Haq,st Ikram Alikhil b Mohammad Nabi,36,51,60,4,0,70.58,out
Babar Azam,b Mohammad Nabi,45,51,63,5,0,88.23,out
Mohammad Hafeez,c Hashmatullah Shahidi b Mujeeb Ur Rahman,19,35,48,1,0,54.28,out
Haris Sohail,lbw b Rashid Khan,27,57,58,2,0,47.36,out
Sarfaraz Ahmed(c),run out (Najibullah Zadran/Ikram Alikhil),18,22,37,1,0,81.81,out
Imad Wasim,not out,49,54,63,5,0,90.74,not_out
Shadab Khan,run out (Gulbadin Naib/Ikram Alikhil),11,17,33,1,0,64.70,out
Wahab Riaz,not out,15,9,14,1,1,166.66,not_out
David Warner,c Latham b Ferguson,16,23,39,3,0,69.56,out
Aaron Finch(c),lbw b Boult,8,15,19,1,0,53.33,out
Usman Khawaja,b Boult,88,129,187,5,0,68.21,out
Steven Smith,c Guptill b Ferguson,5,8,13,0,0,62.50,out
Marcus Stoinis,c Latham b Neesham,21,26,41,3,0,80.76,out
Glenn Maxwell,c & b Neesham,1,5,8,0,0,20.00,out
Alex Carey,c Guptill b Williamson,71,72,113,11,0,98.61,out
Pat Cummins,not out,23,19,34,1,0,121.05,not_out
Mitchell Starc,b Boult,0,1,2,0,0,0.00,out
Jason Behrendorff,lbw b Boult,0,1,4,0,0,0.00,out
Nathan Lyon,not out,0,1,1,0,0,0.00,not_out
Martin Guptill,lbw b Behrendorff,20,43,60,2,0,46.51,out
Henry Nicholls,c Carey b Behrendorff,8,20,43,2,0,40.00,out
Kane Williamson(c),c Carey b Starc,40,51,69,2,1,78.43,out
Ross Taylor,c Carey b Cummins,30,54,76,2,0,55.55,out
Tom Latham,c Smith b Starc,14,28,41,0,0,50.00,out
Colin de Grandhomme,c Khawaja b Smith,0,1,6,0,0,0.00,out
James Neesham,c & b Lyon,9,22,24,0,0,40.90,out
Mitchell Santner,c Behrendorff b Starc,12,29,42,0,1,41.37,out
Ish Sodhi,lbw b Starc,5,4,11,1,0,125.00,out
Lockie Ferguson,b Starc,0,3,7,0,0,0.00,out
Trent Boult,not out,2,7,13,0,0,28.57,not_out
Jason Roy,c sub (RA Jadeja) b Kuldeep Yadav,66,57,101,7,2,115.78,out
Jonny Bairstow,c Pant b Mohammed Shami,111,109,138,10,6,101.83,out
Joe Root,c Pandya b Mohammed Shami,44,54,96,2,0,81.48,out
Eoin Morgan(c),c Jadhav b Mohammed Shami,1,9,10,0,0,11.11,out
Ben Stokes,c sub (RA Jadeja) b Bumrah,79,54,80,6,3,146.29,out
Jos Buttler,c & b Mohammed Shami,20,8,17,1,2,250.00,out
Chris Woakes,c Sharma b Mohammed Shami,7,5,8,1,0,140.00,out
Liam Plunkett,not out,1,4,11,0,0,25.00,not_out
Jofra Archer,not out,0,0,2,0,0,-,not_out
KL Rahul,c & b Woakes,0,9,10,0,0,0.00,out
Rohit Sharma,c Buttler b Woakes,102,109,152,15,0,93.57,out
Virat Kohli(c),c sub (JM Vince) b Plunkett,66,76,103,7,0,86.84,out
Rishabh Pant,c Woakes b Plunkett,32,29,58,4,0,110.34,out
Hardik Pandya,c sub (JM Vince) b Plunkett,45,33,49,4,0,136.36,out
MS Dhoni,not out,42,31,54,4,1,135.48,not_out
Kedar Jadhav,not out,12,13,24,1,0,92.30,not_out
Dimuth Karunaratne(c),c Hope b Holder,32,48,69,4,0,66.66,out
Kusal Perera,run out (Cottrell/Brathwaite),64,51,87,8,0,125.49,out
Avishka Fernando,c Allen b Cottrell,104,103,151,9,2,100.97,out
Kusal Mendis,c & b Allen,39,41,53,4,0,95.12,out
Angelo Mathews,b Holder,26,20,45,2,1,130.00,out
Lahiru Thirimanne,not out,45,33,53,4,0,136.36,not_out
Isuru Udana,c Holder b Thomas,3,6,9,0,0,50.00,out
Dhananjaya de Silva,not out,6,3,5,1,0,200.00,not_out
Chris Gayle,c Vandersay b Rajitha,35,48,70,1,2,72.91,out
Sunil Ambris,c Perera b Malinga,5,6,11,1,0,83.33,out
Shai Hope,b Malinga,5,11,13,1,0,45.45,out
Shimron Hetmyer,run out (de Silva),29,38,62,2,0,76.31,out
Nicholas Pooran,c Perera b Mathews,118,103,156,11,4,114.56,out
Jason Holder(c),c sub (BMAJ Mendis) b Vandersay,26,26,38,4,0,100.00,out
Carlos Brathwaite,run out (Udana),8,15,33,1,0,53.33,out
Fabian Allen,run out (Rajitha/Udana),51,32,50,7,1,159.37,out
Sheldon Cottrell,not out,7,10,35,0,0,70.00,not_out
Oshane Thomas,lbw b Malinga,1,6,8,0,0,16.66,out
Shannon Gabriel,not out,3,7,7,0,0,42.85,not_out
KL Rahul,c Mushfiqur Rahim b Rubel Hossain,77,92,135,6,1,83.69,out
Rohit Sharma,c Liton Das b Soumya Sarkar,104,92,121,7,5,113.04,out
Virat Kohli(c),c Rubel Hossain b Mustafizur Rahman,26,27,45,3,0,96.29,out
Rishabh Pant,c Mosaddek Hossain b Shakib Al Hasan,48,41,56,6,1,117.07,out
Hardik Pandya,c Soumya Sarkar b Mustafizur Rahman,0,2,4,0,0,0.00,out
MS Dhoni,c Shakib Al Hasan b Mustafizur Rahman,35,33,52,4,0,106.06,out
Dinesh Karthik,c Mosaddek Hossain b Mustafizur Rahman,8,9,17,1,0,88.88,out
Bhuvneshwar Kumar,run out (Mushfiqur Rahim/Mustafizur Rahman),2,3,15,0,0,66.66,out
Mohammed Shami,b Mustafizur Rahman,1,2,6,0,0,50.00,out
Jasprit Bumrah,not out,0,0,1,0,0,-,not_out
Tamim Iqbal,b Mohammed Shami,22,31,39,3,0,70.96,out
Soumya Sarkar,c Kohli b Pandya,33,38,67,4,0,86.84,out
Shakib Al Hasan,c Karthik b Pandya,66,74,111,6,0,89.18,out
Mushfiqur Rahim,c Mohammed Shami b Chahal,24,23,29,3,0,104.34,out
Litton Das,c Karthik b Pandya,22,24,31,0,1,91.66,out
Mosaddek Hossain,b Bumrah,3,7,13,0,0,42.85,out
Sabbir Rahman,b Bumrah,36,36,55,5,0,100.00,out
Mohammad Saifuddin,not out,51,38,72,9,0,134.21,not_out
Mashrafe Mortaza(c),c Dhoni b Kumar,8,5,8,0,1,160.00,out
Rubel Hossain,b Bumrah,9,11,18,1,0,81.81,out
Mustafizur Rahman,b Bumrah,0,1,2,0,0,0.00,out
Jason Roy,c Santner b Neesham,60,61,81,8,0,98.36,out
Jonny Bairstow,b Henry,106,99,147,15,1,107.07,out
Joe Root,c Latham b Boult,24,25,54,1,0,96.00,out
Jos Buttler,c Williamson b Boult,11,12,25,1,0,91.66,out
Eoin Morgan(c),c Santner b Henry,42,40,64,5,0,105.00,out
Ben Stokes,c Henry b Santner,11,27,33,0,0,40.74,out
Chris Woakes,c Williamson b Neesham,4,11,12,0,0,36.36,out
Liam Plunkett,not out,15,12,28,1,0,125.00,not_out
Adil Rashid,b Southee,16,12,17,1,0,133.33,out
Jofra Archer,not out,1,1,1,0,0,100.00,not_out
Martin Guptill,c Buttler b Archer,8,16,25,1,0,50.00,out
Henry Nicholls,lbw b Woakes,0,1,6,0,0,0.00,out
Kane Williamson(c),run out (Wood),27,40,62,3,0,67.50,out
Ross Taylor,run out (Rashid/Buttler),28,42,54,2,0,66.66,out
Tom Latham,c Buttler b Plunkett,57,65,106,5,0,87.69,out
James Neesham,b Wood,19,27,31,1,0,70.37,out
Colin de Grandhomme,c Root b Stokes,3,13,15,0,0,23.07,out
Mitchell Santner,lbw b Wood,12,30,58,1,0,40.00,out
Tim Southee,not out,7,16,30,0,0,43.75,not_out
Matt Henry,b Wood,7,13,17,0,0,53.84,out
Trent Boult,st Buttler b Rashid,4,7,7,1,0,57.14,out
Chris Gayle,c Ikram Alikhil b Dawlat Zadran,7,18,21,1,0,38.88,out
Evin Lewis,c Mohammad Nabi b Rashid Khan,58,78,98,6,2,74.35,out
Shai Hope,c Rashid Khan b Mohammad Nabi,77,92,137,6,2,83.69,out
Shimron Hetmyer,c sub (Noor Ali Zadran) b Dawlat Zadran,39,31,42,3,2,125.80,out
Nicholas Pooran,run out (Ikram Alikhil/Sayed Shirzad),58,43,66,6,1,134.88,out
Jason Holder(c),c Dawlat Zadran b Sayed Shirzad,45,34,54,1,4,132.35,out
Carlos Brathwaite,not out,14,4,6,2,1,350.00,not_out
Fabian Allen,not out,0,0,5,0,0,-,not_out
Gulbadin Naib(c),c Lewis b Roach,5,6,8,1,0,83.33,out
Rahmat Shah,c Gayle b Brathwaite,62,78,112,10,0,79.48,out
Ikram Alikhil,lbw b Gayle,86,93,142,8,0,92.47,out
Najibullah Zadran,run out (Hetmyer/Brathwaite),31,38,42,1,1,81.57,out
Asghar Afghan,c Holder b Brathwaite,40,32,47,4,1,125.00,out
Mohammad Nabi,c Allen b Roach,2,6,11,0,0,33.33,out
Samiullah Shinwari,c Hetmyer b Roach,6,9,18,0,0,66.66,out
Rashid Khan,c Holder b Brathwaite,9,16,27,0,1,56.25,out
Dawlat Zadran,c Cottrell b Brathwaite,1,2,6,0,0,50.00,out
Sayed Shirzad,c Allen b Thomas,25,17,20,2,2,147.05,out
Mujeeb Ur Rahman,not out,7,5,13,1,0,140.00,not_out
Fakhar Zaman,c Mehidy Hasan Miraz b Mohammad Saifuddin,13,31,27,1,0,41.93,out
Imam-ul-Haq,hit wicket b Mustafizur Rahman,100,100,172,7,0,100.00,out
Babar Azam,lbw b Mohammad Saifuddin,96,98,102,11,0,97.95,out
Mohammad Hafeez,c Shakib Al Hasan b Mehidy Hasan Miraz,27,25,49,3,0,108.00,out
Haris Sohail,c Soumya Sarkar b Mustafizur Rahman,6,6,13,1,0,100.00,out
Imad Wasim,c Mahmudullah b Mustafizur Rahman,43,26,49,6,1,165.38,out
Sarfaraz Ahmed(c),not out,3,3,13,0,0,100.00,not_out
Wahab Riaz,b Mohammad Saifuddin,2,4,10,0,0,50.00,out
Shadab Khan,c & b Mustafizur Rahman,1,2,4,0,0,50.00,out
Mohammad Amir,c Mushfiqur Rahim b Mustafizur Rahman,8,6,16,1,0,133.33,out
Shaheen Shah Afridi,not out,0,0,4,0,0,-,not_out
Tamim Iqbal,b Shaheen Shah Afridi,8,21,40,0,0,38.09,out
Soumya Sarkar,c Fakhar Zaman b Mohammad Amir,22,22,20,4,0,100.00,out
Shakib Al Hasan,c Sarfaraz Ahmed b Shaheen Shah Afridi,64,77,109,6,0,83.11,out
Mushfiqur Rahim,b Wahab Riaz,16,19,29,2,0,84.21,out
Litton Das,c Haris Sohail b Shaheen Shah Afridi,32,40,38,3,0,80.00,out
Mahmudullah,b Shaheen Shah Afridi,29,41,64,3,0,70.73,out
Mosaddek Hossain,c Babar Azam b Shadab Khan,16,21,36,1,0,76.19,out
Mohammad Saifuddin,c Mohammad Amir b Shaheen Shah Afridi,0,1,5,0,0,0.00,out
Mehidy Hasan Miraz,not out,7,6,20,1,0,116.66,not_out
Mashrafe Mortaza(c),st Sarfaraz Ahmed b Shadab Khan,15,14,14,0,2,107.14,out
Mustafizur Rahman,b Shaheen Shah Afridi,1,3,5,0,0,33.33,out
Dimuth Karunaratne(c),c Dhoni b Bumrah,10,17,16,2,0,58.82,out
Kusal Perera,c Dhoni b Bumrah,18,14,36,3,0,128.57,out
Avishka Fernando,c Dhoni b Pandya,20,21,42,4,0,95.23,out
Kusal Mendis,st Dhoni b Jadeja,3,13,15,0,0,23.07,out
Angelo Mathews,c Sharma b Bumrah,113,128,157,10,2,88.28,out
Lahiru Thirimanne,c Jadeja b Kuldeep Yadav,53,68,102,4,0,77.94,out
Dhananjaya de Silva,not out,29,36,60,1,0,80.55,not_out
Thisara Perera,c Pandya b Kumar,2,3,8,0,0,66.66,out
Isuru Udana,not out,1,1,3,0,0,100.00,not_out
KL Rahul,c MDKJ Perera b Malinga,111,118,180,11,1,94.06,out
Rohit Sharma,c Mathews b Rajitha,103,94,133,14,2,109.57,out
Virat Kohli(c),not out,34,41,61,3,0,82.92,not_out
Rishabh Pant,lbw b Udana,4,4,6,1,0,100.00,out
Hardik Pandya,not out,7,4,8,1,0,175.00,not_out
Aiden Markram,st Carey b Lyon,34,37,51,6,1,91.89,out
Quinton de Kock,c Starc b Lyon,52,51,78,7,0,101.96,out
Faf du Plessis(c),c Starc b Behrendorff,100,94,125,7,2,106.38,out
Rassie van der Dussen,c Maxwell b Cummins,95,97,136,4,4,97.93,out
Jean-Paul Duminy,c Stoinis b Starc,14,13,18,1,0,107.69,out
Dwaine Pretorius,b Starc,2,5,13,0,0,40.00,out
Andile Phehlukwayo,not out,4,3,8,1,0,133.33,not_out
David Warner,c Morris b Pretorius,122,117,168,15,2,104.27,out
Aaron Finch(c),c Markram b Imran Tahir,3,4,9,0,0,75.00,out
Usman Khawaja,b Rabada,18,14,26,3,0,128.57,out
Steven Smith,lbw b Pretorius,7,6,9,1,0,116.66,out
Marcus Stoinis,run out (Rabada/de Kock),22,34,54,4,0,64.70,out
Glenn Maxwell,c de Kock b Rabada,12,20,24,1,0,60.00,out
Alex Carey,c Markram b Morris,85,69,90,11,1,123.18,out
Pat Cummins,c Duminy b Phehlukwayo,9,15,24,1,0,60.00,out
Mitchell Starc,b Rabada,16,11,24,1,1,145.45,out
Jason Behrendorff,not out,11,6,10,0,0,183.33,not_out
